mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.012507057189941407,0.0013441336022353288,0.0037532806396484374,0.0006116190542249286,0.01,{'clf__C': 0.01},0.7643168320518311,0.7399162839369804,0.7668736457046996,0.7601493511032409,0.7771290104615671,0.7616770246516639,0.012236020119879816,4
0.015128850936889648,0.0016251770571921772,0.004224348068237305,0.00043571657483644114,0.1,{'clf__C': 0.1},0.766311228194292,0.7439927911167955,0.7659509774225867,0.759895384328619,0.7778606211701112,0.7628022004464808,0.011056469293085736,1
0.018960952758789062,0.001088179358674485,0.0038626670837402345,0.0005565459264375173,1.0,{'clf__C': 1},0.7658411371548788,0.7441951049357596,0.7643339779584799,0.7583552738880217,0.7773853072065985,0.7620221602287478,0.01083702290203292,2
0.022145843505859374,0.0029177214297477568,0.003788328170776367,0.00026674044740748076,10.0,{'clf__C': 10},0.7657364139035243,0.7442160339515144,0.763732845592861,0.7580710174980778,0.7772128893963047,0.7617938400684564,0.010769302566262857,3
