mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2417645931243897,0.02244493040864524,0.04340858459472656,0.002069114126518186,,1,300,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7495764526278554,0.7367025172955061,0.7597124816514829,0.7478342925044852,0.759119504182297,0.7505890496523253,0.00845524081863664,18
2.4558878421783445,0.032304647776148235,0.08259930610656738,0.003935147704067425,,1,600,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}",0.7521095917189509,0.7384756700191849,0.7612630769589226,0.7527155805121275,0.7613609357161164,0.7531849709850605,0.008364717548072786,17
1.0270572185516358,0.01620697850220154,0.037333345413208006,0.000488656326493334,,3,300,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.7497253923631151,0.7414382884716005,0.763277336377828,0.7521587175842868,0.7635080034483562,0.7540215476490373,0.008437155518797593,14
2.072909927368164,0.01696190268201915,0.0747438907623291,0.001506750142013055,,3,600,"{'clf__max_depth': None, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 600}",0.7513358032506098,0.7415289808732051,0.7658170041240476,0.7547519746499218,0.7643095132691815,0.7555486552333932,0.008912078471491143,13
0.9191450119018555,0.011503017514804554,0.03428049087524414,0.00107111967464893,,5,300,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7549708636642898,0.7457682692866694,0.7699363918078241,0.7568023486101727,0.767021598825695,0.7588998944389302,0.008718290162536405,3
1.831012201309204,0.021989505827521367,0.06668152809143066,0.0013868577260745874,,5,600,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}",0.754167985403906,0.7456496715307248,0.769824553228174,0.7580395628975511,0.7666627833826511,0.7588689112886013,0.00869833725754402,4
0.7032454967498779,0.009293399015548466,0.023938512802124022,0.0003216981666944905,8,1,300,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7505864502075847,0.743163769548282,0.7690510030522613,0.7533866119900278,0.7706656725459587,0.7573707014688229,0.01074170982448784,10
1.4071496963500976,0.017259371218320444,0.045433855056762694,0.0008781763099788651,8,1,600,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}",0.7520572300932735,0.7448985524097437,0.7693305995013864,0.7542766606864093,0.7707425615694681,0.7582611208520562,0.010111796464370378,8
0.6983544826507568,0.011718316167362504,0.02417864799499512,0.0008790290621710806,8,3,300,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.7525436114162307,0.746463577698971,0.7696917449148396,0.7534984505696778,0.7697732938791678,0.7583941356957775,0.009567191817287872,7
1.3702474594116212,0.014764136313167418,0.04664654731750488,0.0007102273682936623,8,3,600,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 600}",0.7535908439297748,0.7456543224231149,0.7697965935832615,0.7548964328153034,0.7705654838183554,0.7589007353139621,0.009741487818427319,2
0.6868247985839844,0.012055627564392104,0.023999452590942383,0.0003265023838673252,8,5,300,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7518454564072012,0.7441404569501774,0.770197348493674,0.7544770381416156,0.7714928120412872,0.758430622406791,0.010698417727988206,6
1.35431866645813,0.011548844632378588,0.04647860527038574,0.0009445942342684113,8,5,600,"{'clf__max_depth': 8, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 600}",0.753230130508443,0.7453264345096214,0.7699340618374146,0.7559985088189379,0.7715091218341528,0.759199651501714,0.010050863347938489,1
1.1144175052642822,0.007687964343732335,0.038731718063354494,0.0009491652297404774,14,1,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7488410626850112,0.7435381663856753,0.7655537174677882,0.7511545003378457,0.7595563736340547,0.7537287641020749,0.00785054515108596,16
2.216367721557617,0.03816847693471251,0.07419629096984863,0.0017273517862448494,14,1,600,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 600}",0.7503188241207901,0.7416150223824196,0.764183694867075,0.7522961858384399,0.7615182087187493,0.7539863871854948,0.008124923212923945,15
1.042298173904419,0.034620395202473515,0.043870973587036136,0.0127673949430577,14,3,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 300}",0.7513055498668851,0.7453985233416662,0.7644772711386566,0.7559938488781193,0.7651995619655632,0.7564749510381781,0.007613112124473178,12
2.5256142616271973,0.12107424080347919,0.0808823585510254,0.014808856266063423,14,3,600,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 600}",0.7528345093366597,0.7445311319109353,0.7666488035601947,0.756636920711107,0.7654395489177288,0.7572181828873251,0.008210276337313489,11
1.0418517589569092,0.03129913283686218,0.032619285583496097,0.001441396651926692,14,5,300,"{'clf__max_depth': 14, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7542168562545382,0.7444660194174758,0.7685011300356486,0.7572170833430416,0.7667023928796104,0.7582206963860629,0.008761913088832824,9
