mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0243082523345948,0.009163847600569514,0.00535426139831543,0.0005859729318721638,0.05,2,200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7583243348909947,0.7492262077786176,0.7649688948950348,0.7609217362939492,0.7742316922575084,0.7615345732232209,0.00818765480813445,1
1.9608620166778565,0.02292348359772061,0.006404781341552734,0.0012032276136045594,0.05,2,400,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7580543816208367,0.7461124353235277,0.7624082574151307,0.7610545446072834,0.7731587408839908,0.7601576719701539,0.008678592178780769,2
3.2210187911987305,0.08727278224797043,0.008258295059204102,0.001277606673943063,0.05,2,700,"{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 700}",0.7574330236628004,0.7435149119237254,0.7615275286003867,0.7599012092546423,0.7685500594142455,0.7581853465711601,0.008213760165572962,5
1.3266156673431397,0.020253177634087637,0.005632877349853516,0.00034069209092622225,0.05,3,200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.7570839461582858,0.7463496308354166,0.7640974859619283,0.7587292341387264,0.7689275146205643,0.7590375623429843,0.007593540300831264,4
2.9649112701416014,0.19758106622898816,0.009304332733154296,0.002238014801105526,0.05,3,400,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 400}",0.7529811218885558,0.7403685832219057,0.7627670728581746,0.7560334583750786,0.7607306787203802,0.7545761830128189,0.007892936806581992,8
5.829219818115234,0.1663634532544636,0.01284794807434082,0.0017946556782667737,0.05,3,700,"{'clf__learning_rate': 0.05, 'clf__max_depth': 3, 'clf__n_estimators': 700}",0.7462741794351461,0.7363362595197953,0.7588154430438734,0.7504205596588923,0.7547310049162376,0.749315489314789,0.007726682113364822,10
2.1040382862091063,0.036442032553133746,0.007518196105957031,0.0007422979744524348,0.05,4,200,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.7518501107739282,0.7410917969885472,0.7648640462266129,0.7561383070435005,0.7598662596985019,0.7547621041462181,0.008066629721232732,7
3.881628227233887,0.047014706856481195,0.009280729293823241,0.0007832503762901712,0.05,4,400,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.7429695790590732,0.7393081797569908,0.7561802465108693,0.747913511498404,0.7491926652531513,0.7471128364156977,0.005749155442301271,13
6.6949433326721195,0.07907859851116544,0.013154363632202149,0.00043927512873019364,0.05,4,700,"{'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 700}",0.7336631727887104,0.7354804953200396,0.7510310119061488,0.7410773783172953,0.7421911041729771,0.7406886325010342,0.006096804626351978,15
0.9527168273925781,0.013532233834515534,0.004352140426635742,0.0006918248139273287,0.1,2,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7583476067246291,0.7458310563339341,0.7615251986299775,0.7600852769169832,0.7725762482816467,0.7596730773774342,0.008525848931314594,3
2.047527551651001,0.046519444975045086,0.007433509826660157,0.0026683557305040204,0.1,2,400,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7562368514139967,0.744028835532818,0.7569374868939165,0.7576341480463198,0.7662550385610104,0.7562184720896123,0.007097060862417663,6
3.851131868362427,0.19122615108884441,0.00912332534790039,0.0017864276577190983,0.1,2,700,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 700}",0.748857352968555,0.7407476309516889,0.7492019851347888,0.7485006640415667,0.7587688436356859,0.749215295346457,0.005720325568123068,11
1.5720813751220704,0.19791044679801506,0.005166816711425781,0.00046642433975778425,0.1,3,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.752636698750768,0.7419777919888378,0.7605605908804958,0.7563153847946131,0.760339243691605,0.7543659420212638,0.006845595342628704,9
3.1986286640167236,0.12525066555070538,0.00799698829650879,0.0014890871645795512,0.1,3,400,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 400}",0.7423970919516691,0.7377059473286438,0.7558493907127379,0.7473962580675226,0.7545376173722594,0.7475772610865666,0.0069452780771164,12
4.764524364471436,0.14201243183947568,0.009816408157348633,0.0005399809965658601,0.1,3,700,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 700}",0.7324716549066335,0.7311133073658509,0.7427269973671334,0.7396444465155292,0.743833733311587,0.7379580278933469,0.005235675303567839,16
1.7602316856384277,0.014118050324666231,0.00602116584777832,0.0007738759257411054,0.1,4,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.742164373615326,0.7428382070809837,0.7530091567837087,0.7439781914769682,0.7480113702555977,0.7460002598425169,0.004048964379084509,14
3.4756993770599367,0.02272127535029938,0.008240127563476562,0.0002738387662560911,0.1,4,400,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.7308240090853239,0.7350921458054763,0.746270882359794,0.7342226053729117,0.7386728488548195,0.7370164982956651,0.00525819387949349,17
