method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,lgb,30,internal_train,0.9954515886747409,0.992937676224871,0.9620572106121239,0.9260213470739787,0.9786075457020614,0.9515885022692889,0.05832356340583981,0.951867816091954,0.9863523573200993,0.9945418197364626,0.9963714632813289,0.991087020892817,0.994485557615424
mean_mode,lgb,30,internal_val,0.7303632805767066,0.6282668561272297,0.6791147994467497,0.5736040609137056,0.6152450090744102,0.5936952714535902,0.2104905694000662,0.7184357541899441,0.752046783625731,0.7030322066003197,0.7539372371189671,0.5807042680863471,0.6694662640439146
mean_mode,lgb,30,internal_test,0.7297650792363302,0.6347561526331703,0.6666666666666666,0.5562805872756933,0.6188747731397459,0.5859106529209622,0.2111616913002953,0.6960893854748603,0.7478991596638656,0.7032185211464255,0.753006942093708,0.5930322926359446,0.6770605278718453
mean_mode,lgb,30,external_main,0.6341586085322937,0.4373367023562488,0.6719797138199601,0.42394822006472493,0.4156091370558376,0.41973726369753284,0.22471186938503146,0.7743979721166033,0.7683601609657947,0.6159587341072391,0.6504126761772498,0.41318780666376387,0.4631607573558459
mean_mode,lgb,30,external_transfer,0.6341586085322937,0.4373367023562488,0.6719797138199601,0.42394822006472493,0.4156091370558376,0.41973726369753284,0.22471186938503146,0.7743979721166033,0.7683601609657947,0.6183330254802152,0.6504021276503891,0.41484265723441643,0.46326868460540593
