method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,rf,35,internal_train,0.9505096448599245,0.9268599811921995,0.8660145249740625,0.8069981583793738,0.85219758848697,0.8289822171774499,0.12457741781040316,0.8745210727969349,0.9057539682539683,0.9462977779539173,0.9555276078042656,0.9196005355953537,0.9339220651704669
mean_mode,rf,35,internal_val,0.7386813209096715,0.6231052424862018,0.6977869986168741,0.6003521126760564,0.6188747731397459,0.6094727435210009,0.20124596798598132,0.7463687150837989,0.7608200455580866,0.7087106051280898,0.7613644241300388,0.5754384512315337,0.6615195773204863
mean_mode,rf,35,internal_test,0.7543400014194608,0.6546863329644548,0.6922544951590595,0.5866013071895425,0.6515426497277677,0.6173688736027515,0.19793308106287158,0.71731843575419,0.7697841726618705,0.7326789183668594,0.7760238645776617,0.6115361621755325,0.6940392744179166
mean_mode,rf,35,external_main,0.6619561161400731,0.468440827586874,0.6884622351023365,0.45180722891566266,0.4282994923857868,0.43973941368078173,0.20250758774162697,0.7923954372623574,0.776260243357338,0.6435157476645084,0.6767069518960975,0.44762975566375285,0.4938356633389752
mean_mode,rf,35,external_transfer,0.6619561161400731,0.468440827586874,0.6884622351023365,0.45180722891566266,0.4282994923857868,0.43973941368078173,0.202507587741627,0.7923954372623574,0.776260243357338,0.6468826534131525,0.6781782258937767,0.4476925300992005,0.4960869878580608
