method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,extra_trees,42,internal_train,0.9795968815151611,0.9698330306197269,0.9153697939825107,0.8584229390681004,0.9315441462465966,0.89349002051856,0.10254543503769914,0.905411877394636,0.9555218599949457,0.9771138008252395,0.9822486906542927,0.9662031328942319,0.9733767168255664
mean_mode,extra_trees,42,internal_val,0.7350353344351053,0.6283722521303365,0.6908713692946058,0.5896551724137931,0.6206896551724138,0.6047745358090185,0.20332624999416493,0.7340782122905027,0.7586605080831409,0.710209198920192,0.7599368875247032,0.5942277228555705,0.6711617418977746
mean_mode,extra_trees,42,internal_test,0.7490190511918401,0.6491042599791975,0.681881051175657,0.5712050078247262,0.662431941923775,0.6134453781512605,0.20068407767481583,0.693854748603352,0.7695167286245354,0.7220307211975675,0.7701432905085733,0.6096077689630091,0.6868141111650198
mean_mode,extra_trees,42,external_main,0.6670911260800474,0.4624099307403542,0.6795870313349031,0.44266191325014853,0.4727157360406091,0.45719545872967166,0.20673051876397033,0.7622306717363752,0.7834809796769151,0.6518326911635688,0.6835837123450409,0.44108043996988133,0.4879282271906979
mean_mode,extra_trees,42,external_transfer,0.6670911260800474,0.4624099307403542,0.6795870313349031,0.44266191325014853,0.4727157360406091,0.45719545872967166,0.20673051876397033,0.7622306717363752,0.7834809796769151,0.6483317721274049,0.6834985648924887,0.4437454789781825,0.4873409896024013
