method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,gb,42,internal_train,0.8096827400671505,0.7301543894136199,0.7465540240106714,0.714713216957606,0.5573706728899261,0.6263111888111889,0.1716417825480617,0.8630268199233716,0.7600168705187684,0.8002497072401203,0.8197483499526945,0.7130418035109337,0.7437443760251216
mean_mode,gb,42,internal_val,0.7408490403431041,0.6323996960052489,0.7033195020746889,0.6361607142857143,0.5172413793103449,0.5705705705705706,0.19655226673497891,0.8178770949720671,0.7334669338677354,0.7149920714559561,0.7637279217428343,0.5926280926071561,0.6701882794870995
mean_mode,gb,42,internal_test,0.7481775137130052,0.6535960989544873,0.7026279391424619,0.6247422680412371,0.5499092558983666,0.584942084942085,0.19388518588900203,0.7966480446927374,0.7419354838709677,0.7237122647907474,0.7744098288137863,0.6130665207593794,0.6916765882083611
mean_mode,gb,42,external_main,0.6453823351540535,0.44131644730147146,0.7120086940771599,0.4928571428571429,0.30647208121827413,0.3779342723004695,0.1975336117906071,0.8740177439797212,0.759304118035675,0.6309029659743273,0.6623724394754322,0.41901531155548805,0.4683338912167705
mean_mode,gb,42,external_transfer,0.6453823351540535,0.44131644730147146,0.7120086940771599,0.4928571428571429,0.30647208121827413,0.3779342723004695,0.1975336117906071,0.8740177439797212,0.759304118035675,0.6289182851255196,0.6648260379654078,0.41794260230751695,0.46695339094199434
