k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.5845542651621229,0.13208071602917798,0.6003895732111907
7,0.5962621420530982,0.15470741515637934,0.6071360234912062
8,0.5975985503665265,0.1557977423883669,0.6102967990843353
9,0.6435440243801993,0.2549206116326605,0.6836597023780417
10,0.6597013974686325,0.283650147202399,0.701636713956133
11,0.6596997501578674,0.28455846392975054,0.7002348175366425
12,0.6591082557724515,0.2837362691092765,0.7008019396444626
13,0.6654809323778931,0.29474329634473617,0.7057955414685468
14,0.6712614556736127,0.308059427591583,0.7114911516470306
15,0.6736338028169014,0.31253801105354945,0.7127206452337581
16,0.6730406611207205,0.3105964855604338,0.7178278512830509
17,0.6749682343574115,0.3157055941275896,0.7169203957519086
18,0.6814884001866953,0.32621499099802254,0.718211981778287
19,0.6797086456359993,0.3233413224815707,0.7192438003269672
20,0.6817832688136617,0.32775934135543594,0.72127120655439
21,0.683565329599429,0.3308656059165216,0.7249956737102512
22,0.6817853554072977,0.3292177183071418,0.7245174588193912
23,0.686528622024545,0.33782859550050653,0.7330925329645814
24,0.6844525711775526,0.3328566518862691,0.7345275450877929
25,0.6853431073772067,0.33498844492624497,0.7354949487411544
26,0.691269582406721,0.3468232493599373,0.7384848473913163
27,0.6891961672569531,0.3422298140179235,0.7367478088279962
28,0.683565000137276,0.3305028072563954,0.7361919900011659
29,0.6862314471625073,0.33766799588044905,0.7359382642145597
30,0.6835640117508168,0.3314866210943177,0.7369171218409672
31,0.6875665376273234,0.3404043677251348,0.7376776438423553
32,0.6853426680943361,0.33355741779087544,0.7381963642010463
33,0.6914213546385526,0.34760218453420605,0.7396827344429251
34,0.6863809131592675,0.3365496864802108,0.7377217699880898
35,0.6881596793235044,0.3411236439989116,0.7376896213211236
36,0.6859371276391291,0.3341590278308945,0.7388239104542031
37,0.684750185322461,0.3350059962685705,0.7376429829678924
38,0.6880107624303324,0.33924855829815953,0.7372365564557832
39,0.6846021469950306,0.3320620240681581,0.7387146914152479
40,0.6884557559783653,0.34199692116766656,0.7384568385017373
41,0.685935480328364,0.3357963215021275,0.7375175870851984
42,0.6883072783680642,0.3406085381608045,0.7379881773207988
