model,k_best,internal_train_AUROC,internal_train_AUPRC,internal_val_AUROC,internal_val_AUPRC,internal_test_AUROC,internal_test_AUPRC,external_main_AUROC,external_main_AUPRC,external_transfer_AUROC,external_transfer_AUPRC
lr,20,0.7681316138896712,0.6636723606397636,0.742168124993663,0.6441532552817232,0.7574810654067262,0.6599447243877465,0.651080610295111,0.4591863436889717,0.651080610295111,0.4591863436889717
gb,42,0.8096827400671505,0.7301543894136199,0.7408490403431041,0.6323996960052489,0.7481775137130052,0.6535960989544873,0.6453823351540535,0.44131644730147146,0.6453823351540535,0.44131644730147146
adaboost,20,0.7643702843087725,0.655771796156013,0.7387502661489014,0.6246765519018782,0.75166330389642,0.6540274581249792,0.655012931616838,0.4659100167252739,0.655012931616838,0.4659100167252739
rf,35,0.9505096448599245,0.9268599811921995,0.7386813209096715,0.6231052424862018,0.7543400014194608,0.6546863329644548,0.6619561161400731,0.468440827586874,0.6619561161400731,0.468440827586874
extra_trees,42,0.9795968815151611,0.9698330306197269,0.7350353344351053,0.6283722521303365,0.7490190511918401,0.6491042599791975,0.6670911260800474,0.4624099307403542,0.6670911260800474,0.4624099307403542
xgb,20,0.9357243275645983,0.9068054459850936,0.7332052438937838,0.6211185029025811,0.7335002889616645,0.6336439870427787,0.6358944046631024,0.43052084176542804,0.6358944046631024,0.43052084176542804
lgb,30,0.9954515886747409,0.992937676224871,0.7303632805767066,0.6282668561272297,0.7297650792363302,0.6347561526331703,0.6341586085322937,0.4373367023562488,0.6341586085322937,0.4373367023562488
