method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,xgb,20,internal_train,0.9357243275645983,0.9068054459850936,0.8534163331851193,0.7769607843137255,0.8630882924931933,0.8177630366685094,0.11459044812972444,0.8474616858237548,0.9095348239527113,0.9304011132604264,0.9411313681112399,0.898256037892498,0.9155037309777473
mean_mode,xgb,20,internal_val,0.7332052438937838,0.6211185029025811,0.6804979253112033,0.5705229793977813,0.6533575317604355,0.6091370558375635,0.21037518459950746,0.6972067039106146,0.7656441717791411,0.7068001067577081,0.7589785125182987,0.5763055252708744,0.6564484940540656
mean_mode,xgb,20,internal_test,0.7335002889616645,0.6336439870427787,0.6756569847856155,0.5623100303951368,0.6715063520871143,0.6120760959470637,0.21137841208666905,0.6782122905027933,0.7703045685279187,0.7067072785366278,0.7558319727135486,0.5867964481595622,0.6735891551954921
mean_mode,xgb,20,external_main,0.6358944046631024,0.43052084176542804,0.6536859264625974,0.4079956188389923,0.4727157360406091,0.43797766019988243,0.23065164677709088,0.7259822560202789,0.7751014884979702,0.6199766562678831,0.651966092547713,0.4075761655076989,0.45652138530098835
mean_mode,xgb,20,external_transfer,0.6358944046631024,0.43052084176542804,0.6536859264625974,0.4079956188389923,0.4727157360406091,0.43797766019988243,0.23065164677709088,0.7259822560202789,0.7751014884979702,0.6196883918328319,0.6505706755575249,0.40328083670822057,0.45992389126037314
