method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,xgb,5,internal_train,0.7509094214723313,0.6469202716138684,0.7004594634652438,0.6078431372549019,0.602878257487359,0.6053505174770553,0.20135278893371567,0.7605363984674329,0.756730998332142,0.7398887691949523,0.7638050381297609,0.6311116140818449,0.6645092462457424
mean_mode,xgb,5,internal_val,0.7143720406776912,0.5824710401986883,0.6721991701244814,0.5686274509803921,0.5789473684210527,0.5737410071942446,0.21608781296506013,0.729608938547486,0.7378531073446327,0.6895005228034365,0.7421118346876577,0.5359601395981421,0.6279851208495247
mean_mode,xgb,5,internal_test,0.7183505865414836,0.6042455444931377,0.6749654218533887,0.5676126878130217,0.617059891107078,0.591304347826087,0.21695160027514823,0.7106145251396648,0.7508854781582054,0.6912148123062617,0.7415575075734459,0.5601657122577862,0.644149161524518
mean_mode,xgb,5,external_main,0.6729310217264031,0.46979747763526086,0.6694439413149792,0.43585780525502316,0.5368020304568528,0.48109183963605345,0.21894798842609325,0.7224334600760456,0.7960893854748603,0.6585980441144649,0.6876407167358878,0.44413213239191,0.49484009494367814
mean_mode,xgb,5,external_transfer,0.6729310217264031,0.46979747763526086,0.6694439413149792,0.43585780525502316,0.5368020304568528,0.48109183963605345,0.21894798842609325,0.7224334600760456,0.7960893854748603,0.6559728244582599,0.6887858495653391,0.4445693625691998,0.49159901977422793
mean_mode,xgb,10,internal_train,0.791388875849253,0.7090891954105332,0.7136505113383727,0.6090815978149539,0.6938934266822249,0.6487272727272727,0.18593592777846474,0.7258141762452107,0.7938711367207962,0.7816067185542457,0.8007191857987616,0.6936155405052107,0.7275284837983493
mean_mode,xgb,10,internal_val,0.7237455515112188,0.610220010549194,0.6825726141078838,0.5727848101265823,0.6569872958257713,0.6120033812341504,0.2150550049798788,0.6983240223463687,0.7678132678132679,0.6984521016099768,0.750205756371383,0.5673570248853639,0.6511114330902338
mean_mode,xgb,10,internal_test,0.7235589938050675,0.6058986028124588,0.6625172890733056,0.5473684210526316,0.6606170598911071,0.5986842105263158,0.2171773125473214,0.6636871508379888,0.7605633802816901,0.692274122326747,0.7523392007689033,0.5608659186911358,0.6497159379726283
mean_mode,xgb,10,external_main,0.6410571596765166,0.44246988632502793,0.5417496830284368,0.3451298701298701,0.674492385786802,0.4566151202749141,0.2576661939415002,0.48871989860583015,0.7898402294141745,0.62447818786112,0.6550947495131256,0.4172936261023469,0.4699713471954495
mean_mode,xgb,10,external_transfer,0.6410571596765166,0.44246988632502793,0.5417496830284368,0.3451298701298701,0.674492385786802,0.4566151202749141,0.2576661939415002,0.48871989860583015,0.7898402294141745,0.6263877585831397,0.655563411851035,0.4181214973038511,0.4652155454059923
mean_mode,xgb,15,internal_train,0.8416819137267876,0.780947721124865,0.7492218763895064,0.647039143526263,0.7522364838584209,0.6956834532374101,0.1641073186989507,0.7473659003831418,0.8304949441192123,0.8309844038681976,0.8501385745688937,0.7649270527118305,0.7946537405019442
