k,Accuracy_CV,Kappa_CV,AUROC_CV
6,0.6983865140158692,0.3158538225990976,0.7436962143786563
7,0.6994238805150592,0.32336046996821366,0.7482610172572878
8,0.7014993822584631,0.32732558976543846,0.7536070162644523
9,0.7010540592482771,0.3262584667649319,0.7536607515834051
10,0.7016481893309173,0.32688390607905327,0.7552534344412701
11,0.7032781484226999,0.331021191521714,0.7563826738513558
12,0.7040195480877468,0.33255906645527056,0.7572177128901794
13,0.7066874227823079,0.3400309749835882,0.7577077065645376
14,0.7047596299041814,0.3358138668928473,0.7587743278245074
15,0.7057976553276776,0.3388238813639305,0.7586677260019048
16,0.7074279438816132,0.3420160661425887,0.7590537434809386
17,0.7078724981467752,0.3430859158977254,0.7587946299600298
18,0.7068348021854323,0.33977822191170615,0.7583437536514699
19,0.7068348021854323,0.33977822191170615,0.7583437536514699
20,0.7068348021854323,0.33977822191170615,0.7583437536514699
21,0.7068348021854323,0.33977822191170615,0.7583437536514699
22,0.706983060154298,0.3401652252284883,0.7583453846307565
23,0.7068348021854323,0.33967623977098366,0.7583789362046515
24,0.7068348021854323,0.33967623977098366,0.7583789362046515
25,0.7068348021854323,0.33967623977098366,0.7583789362046515
26,0.7068348021854323,0.33967623977098366,0.7583789362046515
27,0.7068348021854323,0.33967623977098366,0.7583789362046515
28,0.7068348021854323,0.33967623977098366,0.7583789362046515
29,0.7068348021854323,0.33967623977098366,0.7583789362046515
30,0.7068348021854323,0.33967623977098366,0.7583789362046515
31,0.7068348021854323,0.33967623977098366,0.7583789362046515
32,0.7068348021854323,0.33967623977098366,0.7583789362046515
33,0.7068348021854323,0.33967623977098366,0.7583789362046515
34,0.7063903577409878,0.33850225162549147,0.7583091728188018
35,0.7063903577409878,0.33850225162549147,0.7583091728188018
36,0.7063903577409878,0.33850225162549147,0.7583091728188018
37,0.7063903577409878,0.33850225162549147,0.7583091728188018
38,0.706538505889136,0.33878216644058173,0.758262198805663
39,0.706686654037284,0.3391617859722878,0.7581523557509091
40,0.706686654037284,0.3391617859722878,0.7581523557509091
41,0.706686654037284,0.3391617859722878,0.7581523557509091
42,0.7065382862477005,0.33907147537564664,0.7581196308148412
