method,model,k,scenario,AUROC,AUPRC,Accuracy,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV,AUROC_lo,AUROC_hi,AUPRC_lo,AUPRC_hi
mean_mode,rf,5,internal_train,0.9119595443429589,0.8692597236936844,0.8236253149547947,0.7533944954128441,0.7985219758848697,0.7753021148036254,0.14069151992554846,0.8390804597701149,0.8712083540527101,0.9055462515713801,0.9180750611078045,0.8580490894008127,0.880156789855058
mean_mode,rf,5,internal_val,0.6757008587737887,0.5546732198593742,0.6632088520055325,0.5557491289198606,0.5789473684210527,0.5671111111111111,0.22221171717266797,0.7150837988826816,0.7339449541284404,0.6497237144829899,0.704499580478604,0.5051478660607241,0.5946317901668215
mean_mode,rf,5,internal_test,0.6886108548195764,0.5864519708469842,0.6542185338865837,0.5430016863406408,0.5843920145190563,0.5629370629370629,0.2187739081440624,0.6972067039106146,0.731535756154748,0.6648376015826444,0.7150151490130444,0.5423954496973085,0.6307842846128282
mean_mode,rf,5,external_main,0.6627328173553878,0.4559081454512667,0.6946205397572903,0.46536523929471035,0.46890862944162437,0.4671302149178255,0.20599098816450503,0.7847908745247149,0.7871853546910755,0.6479895979363832,0.6815262030902587,0.43120675091708777,0.4789535637765898
mean_mode,rf,5,external_transfer,0.6627328173553878,0.4559081454512667,0.6946205397572903,0.46536523929471035,0.46890862944162437,0.4671302149178255,0.20599098816450503,0.7847908745247149,0.7871853546910755,0.6444720441654873,0.6811610653948107,0.4299490172328712,0.48271705831545647
mean_mode,rf,10,internal_train,0.9213704825112402,0.883122090844401,0.8385949310804802,0.7714285714285715,0.8191365227537923,0.7945670628183361,0.13504513177936664,0.8505747126436781,0.8842419716206124,0.9155197528172775,0.9272119406277339,0.874250428480812,0.8918981115873872
mean_mode,rf,10,internal_val,0.7288910969390341,0.6131726984270184,0.6874135546334716,0.5873015873015873,0.604355716878403,0.5957066189624329,0.20520428488952644,0.7385474860335196,0.7519908987485779,0.702014399498518,0.7585239224895446,0.5690211644588826,0.6515452581763087
mean_mode,rf,10,internal_test,0.7332387026128218,0.6345995038026442,0.6908713692946058,0.587248322147651,0.6352087114337568,0.6102877070619006,0.2045348639325972,0.7251396648044692,0.7635294117647059,0.7034877363985278,0.7609838233590795,0.6004711471689942,0.6760316057856458
mean_mode,rf,10,external_main,0.65197343871636,0.45636626224934196,0.6966129324397754,0.46292134831460674,0.39213197969543145,0.42459635863964273,0.20362061286899977,0.8182509505703423,0.7711419015766842,0.6373374592478811,0.6669032355559772,0.4299846035736987,0.4855668929468325
mean_mode,rf,10,external_transfer,0.65197343871636,0.45636626224934196,0.6966129324397754,0.46292134831460674,0.39213197969543145,0.42459635863964273,0.20362061286899977,0.8182509505703423,0.7711419015766842,0.6371196851951104,0.6687793910863925,0.43315194894135567,0.48420070900488965
mean_mode,rf,15,internal_train,0.9270215347726111,0.8931335123587524,0.8399288572698977,0.7704026115342764,0.8261376896149358,0.7972972972972973,0.13381396865355963,0.8484195402298851,0.8879699248120301,0.920068885408528,0.9324399575117578,0.8841928164677518,0.9027995464299464
mean_mode,rf,15,internal_val,0.7336422350424316,0.6262633966850012,0.690179806362379,0.5886402753872634,0.6206896551724138,0.6042402826855123,0.20314259922728692,0.7329608938547486,0.7583815028901734,0.7083079554996399,0.7595496555988818,0.5841144191036012,0.6731154971174527
mean_mode,rf,15,internal_test,0.7495848077137556,0.6543107082112323,0.6915629322268326,0.5845410628019324,0.6588021778584392,0.6194539249146758,0.19945108190562644,0.711731843575419,0.7721212121212121,0.721480670310282,0.7695985751037413,0.6132422552492247,0.6969823419666015
mean_mode,rf,15,external_main,0.6467720014411354,0.4461271562585787,0.6672704220249954,0.42778085224128387,0.49048223350253806,0.4569908365356193,0.2159757897508452,0.7378960709759189,0.7837910608508347,0.6313687989225231,0.6643080031174119,0.42253587239046636,0.47290260761157865
mean_mode,rf,15,external_transfer,0.6467720014411354,0.4461271562585787,0.6672704220249954,0.42778085224128387,0.49048223350253806,0.4569908365356193,0.2159757897508452,0.7378960709759189,0.7837910608508347,0.6280174327247826,0.6619619180411758,0.4249229744700036,0.47067946301250146
mean_mode,rf,20,internal_train,0.9322208102159215,0.9015867909500503,0.848377056469542,0.783724340175953,0.8315830416180474,0.8069447065484053,0.13294459776234854,0.8587164750957854,0.8922617566558846,0.9258804666937562,0.9376532919621386,0.8933254198508098,0.9100750249974465
mean_mode,rf,20,internal_val,0.736728548398544,0.6247223981572934,0.6977869986168741,0.6003521126760564,0.6188747731397459,0.6094727435210009,0.20227748986865676,0.7463687150837989,0.7608200455580866,0.7135521182161335,0.7603895599063227,0.5872171252296216,0.6666264560879551
mean_mode,rf,20,internal_test,0.7499984791491346,0.6552242066298691,0.6970954356846473,0.5921696574225123,0.6588021778584392,0.6237113402061856,0.19934510197486077,0.7206703910614525,0.7743097238895558,0.724905487137976,0.7794983561749865,0.6120852511206105,0.7002595470182171
mean_mode,rf,20,external_main,0.6550878835253776,0.45483249204801013,0.6808549175873936,0.4447086801426873,0.4746192893401015,0.45917740945365254,0.20944455375181958,0.7632446134347275,0.7843188330294347,0.639732336969423,0.6703621114961205,0.4265096703520166,0.48003063512694305
mean_mode,rf,20,external_transfer,0.6550878835253776,0.45483249204801013,0.6808549175873936,0.4447086801426873,0.4746192893401015,0.45917740945365254,0.20944455375181958,0.7632446134347275,0.7843188330294347,0.6409560015850357,0.6697864882572221,0.43014553272501976,0.48070753809075195
mean_mode,rf,25,internal_train,0.9470167920707091,0.9216795308631027,0.8658663109530161,0.8082901554404145,0.8494749124854143,0.8283709463303622,0.1254797728545245,0.8759578544061303,0.9043263288009888,0.9429871890895596,0.9513604615280683,0.9141848676619633,0.928729537624098
mean_mode,rf,25,internal_val,0.7365703799085461,0.6251711970321201,0.7012448132780082,0.6072072072072072,0.6116152450090744,0.6094032549728752,0.2017792199156696,0.7564245810055866,0.7598204264870931,0.7100921367648084,0.764046935227831,0.5797405139881163,0.6676397559448496
mean_mode,rf,25,internal_test,0.7508947672591226,0.6547065861693293,0.6867219917012448,0.5813953488372093,0.6352087114337568,0.6071118820468343,0.1986652646205658,0.7184357541899441,0.7618483412322274,0.7251960545545494,0.7754546323883003,0.6123515543162782,0.6930426252876374
mean_mode,rf,25,external_main,0.6576853049223781,0.46288430525612045,0.6848397029523637,0.44944512946979037,0.46256345177664976,0.45590994371482174,0.2068343630641324,0.773637515842839,0.7827648114901257,0.6400742878403377,0.6768190474078911,0.44006363627860323,0.4924896638788728
mean_mode,rf,25,external_transfer,0.6576853049223781,0.46288430525612045,0.6848397029523637,0.44944512946979037,0.46256345177664976,0.45590994371482174,0.2068343630641324,0.773637515842839,0.7827648114901257,0.6417609401787961,0.6742039601707099,0.4329104323911738,0.48797875953965925
mean_mode,rf,30,internal_train,0.9469906196584061,0.9219346823918796,0.8655698829109234,0.8074648928307465,0.8498638661999222,0.8281220390373318,0.12654541667903968,0.8752394636015326,0.9044790893343232,0.9425045550085087,0.9516959990292396,0.9147732081748259,0.9288164558427824
mean_mode,rf,30,internal_val,0.7376978373500694,0.6230587067852305,0.69432918395574,0.5957820738137083,0.6152450090744102,0.6053571428571428,0.20173250948497937,0.7430167597765364,0.758266818700114,0.7097466592049917,0.7624677110609753,0.5776660390028586,0.6730241564955659
mean_mode,rf,30,internal_test,0.7561021606221293,0.659505748884461,0.6908713692946058,0.5863787375415282,0.6406533575317604,0.6123156981786644,0.19720173908245858,0.7217877094972067,0.7654028436018957,0.7284519523253358,0.7803816999129854,0.6142280693714897,0.6977614502393462
mean_mode,rf,30,external_main,0.6603221323657139,0.4678991619379799,0.6911791342148161,0.4567404426559356,0.43210659898477155,0.44408216498206715,0.20358499664767804,0.7946768060836502,0.7779156327543424,0.6432769621775121,0.6749752919351346,0.44283145790495715,0.4966639724428221
mean_mode,rf,30,external_transfer,0.6603221323657139,0.4678991619379799,0.6911791342148161,0.4567404426559356,0.43210659898477155,0.44408216498206715,0.20358499664767804,0.7946768060836502,0.7779156327543424,0.64441828048026,0.6788841568454448,0.4445910075605151,0.4928488668694094
mean_mode,rf,35,internal_train,0.9505096448599245,0.9268599811921995,0.8660145249740625,0.8069981583793738,0.85219758848697,0.8289822171774499,0.12457741781040316,0.8745210727969349,0.9057539682539683,0.9462977779539173,0.9555276078042656,0.9196005355953537,0.9339220651704669
mean_mode,rf,35,internal_val,0.7386813209096715,0.6231052424862018,0.6977869986168741,0.6003521126760564,0.6188747731397459,0.6094727435210009,0.20124596798598132,0.7463687150837989,0.7608200455580866,0.7087106051280898,0.7613644241300388,0.5754384512315337,0.6615195773204863
