method,model,scenario,metric,value
mean_mode,adaboost,external_main,Brier_Score,0.2041782318306268
mean_mode,adaboost,external_transfer,Brier_Score,0.2041782318306268
mean_mode,lgb,internal_train,Brier_Score,0.0583235634058398
mean_mode,lgb,internal_val,Brier_Score,0.2104905694000662
mean_mode,lgb,internal_test,Brier_Score,0.2111616913002953
mean_mode,lgb,external_main,Brier_Score,0.2247118693850314
mean_mode,lgb,external_transfer,Brier_Score,0.2247118693850314
mean_mode,xgb,internal_train,Brier_Score,0.1145904481297244
mean_mode,xgb,internal_val,Brier_Score,0.2103751845995074
mean_mode,xgb,internal_test,Brier_Score,0.211378412086669
mean_mode,xgb,external_main,Brier_Score,0.2306516467770908
mean_mode,xgb,external_transfer,Brier_Score,0.2306516467770908
mean_mode,lr,internal_train,F1_Score,0.6339013452914798
mean_mode,lr,internal_val,F1_Score,0.6164267569856055
mean_mode,lr,internal_test,F1_Score,0.6270096463022508
mean_mode,lr,external_main,F1_Score,0.4348917477251333
mean_mode,lr,external_transfer,F1_Score,0.4348917477251333
mean_mode,rf,internal_train,F1_Score,0.8289822171774499
mean_mode,rf,internal_val,F1_Score,0.6094727435210009
mean_mode,rf,internal_test,F1_Score,0.6173688736027515
mean_mode,rf,external_main,F1_Score,0.4397394136807817
mean_mode,rf,external_transfer,F1_Score,0.4397394136807817
mean_mode,extra_trees,internal_train,F1_Score,0.89349002051856
mean_mode,extra_trees,internal_val,F1_Score,0.6047745358090185
mean_mode,extra_trees,internal_test,F1_Score,0.6134453781512605
mean_mode,extra_trees,external_main,F1_Score,0.4571954587296716
mean_mode,extra_trees,external_transfer,F1_Score,0.4571954587296716
mean_mode,gb,internal_train,F1_Score,0.6263111888111889
mean_mode,gb,internal_val,F1_Score,0.5705705705705706
mean_mode,gb,internal_test,F1_Score,0.584942084942085
mean_mode,gb,external_main,F1_Score,0.3779342723004695
mean_mode,gb,external_transfer,F1_Score,0.3779342723004695
mean_mode,adaboost,internal_train,F1_Score,0.5512497133684935
mean_mode,adaboost,internal_val,F1_Score,0.5506329113924051
mean_mode,adaboost,internal_test,F1_Score,0.570264765784114
mean_mode,adaboost,external_main,F1_Score,0.4113578449217328
mean_mode,adaboost,external_transfer,F1_Score,0.4113578449217328
mean_mode,lgb,internal_train,F1_Score,0.9515885022692888
mean_mode,lgb,internal_val,F1_Score,0.5936952714535902
mean_mode,lgb,internal_test,F1_Score,0.5859106529209622
mean_mode,lgb,external_main,F1_Score,0.4197372636975328
mean_mode,lgb,external_transfer,F1_Score,0.4197372636975328
mean_mode,xgb,internal_train,F1_Score,0.8177630366685094
mean_mode,xgb,internal_val,F1_Score,0.6091370558375635
mean_mode,xgb,internal_test,F1_Score,0.6120760959470637
mean_mode,xgb,external_main,F1_Score,0.4379776601998824
mean_mode,xgb,external_transfer,F1_Score,0.4379776601998824
