iter	Logloss
0	0.6857962023
1	0.677277219
2	0.6705514665
3	0.6634912076
4	0.6576099196
5	0.65149067
6	0.6463185506
7	0.6418208446
8	0.6372187087
9	0.6331428386
10	0.62879933
11	0.6249951181
12	0.6214301666
13	0.6177932851
14	0.615573748
15	0.6130324359
16	0.6102797422
17	0.6079831006
18	0.6058009743
19	0.6038082519
20	0.6019559473
21	0.6000319027
22	0.5984860364
23	0.5968198561
24	0.5947898251
25	0.5932177689
26	0.5914983418
27	0.5903201828
28	0.5887983937
29	0.5875638053
30	0.5865309752
31	0.5851338665
32	0.5842203852
33	0.5826402954
34	0.5815132615
35	0.5803714175
36	0.5789326307
37	0.5780624186
38	0.577166114
39	0.5762394848
40	0.5751324181
41	0.5740860287
42	0.5730967572
43	0.5723022955
44	0.5714110864
45	0.5706761066
46	0.5698233828
47	0.5693662395
48	0.5686593444
49	0.5678473374
50	0.5673521563
51	0.5665001374
52	0.5661259198
53	0.5653761805
54	0.5646653499
55	0.5642078979
56	0.5635865715
57	0.5628958223
58	0.5621485849
59	0.5614729637
60	0.5607723678
61	0.5602260805
62	0.5595070722
63	0.5589407427
64	0.558293475
65	0.5575488739
66	0.5570404168
67	0.5564149625
68	0.5559652707
69	0.5553179615
70	0.5545779649
71	0.5540131002
72	0.5533831871
73	0.552886356
74	0.5523851493
75	0.5517332146
76	0.551310777
77	0.5510003528
78	0.550582205
79	0.5502453199
80	0.5496524327
81	0.549341184
82	0.5489215524
83	0.5483604247
84	0.5479331593
85	0.5473006033
86	0.5470003831
87	0.5466166355
88	0.5463450823
89	0.5457844021
90	0.5452077233
91	0.544907138
92	0.5446253929
93	0.5441822156
94	0.5438491486
95	0.543187631
96	0.542710416
97	0.5422295089
98	0.5419044104
99	0.5412855229
100	0.5407747764
101	0.5401890346
102	0.5399760142
103	0.5396156726
104	0.5392289913
105	0.538961177
106	0.5382675114
107	0.5379328943
108	0.5376419594
109	0.537343479
110	0.5369913437
111	0.5366566698
112	0.5363762836
113	0.535836199
114	0.5356039607
115	0.5353644627
116	0.5348142329
117	0.5346196353
118	0.534230481
119	0.5338670048
120	0.5333897854
121	0.5329470604
122	0.5324536064
123	0.5320501176
124	0.5316076125
125	0.531296635
126	0.5310012627
127	0.5307953269
128	0.5303782615
129	0.5301668712
130	0.5296959076
131	0.5294579185
132	0.5289233465
133	0.5284625265
134	0.5281865601
135	0.5279056393
136	0.5274205445
137	0.5269572078
138	0.5266623861
139	0.5263455869
140	0.5261575447
141	0.5256053273
142	0.5252417216
143	0.5248238704
144	0.5244850581
145	0.5243546826
146	0.5239827287
147	0.5236767916
148	0.5234411152
149	0.5231632601
150	0.5227792225
151	0.5223202843
152	0.5217511919
153	0.5212964064
154	0.5209812517
155	0.5205578025
156	0.5202261375
157	0.5197000555
158	0.5192991022
159	0.5189522289
160	0.5182860752
161	0.5178788121
162	0.5175878718
163	0.5170868115
164	0.5166840227
165	0.5164568934
166	0.5162094692
167	0.5157943154
168	0.5156120866
169	0.5152293844
170	0.5147964369
171	0.5143650639
172	0.5140324004
173	0.5137779057
174	0.5131339589
175	0.5127831982
176	0.5123504499
177	0.5120161531
178	0.5117089635
179	0.5114011779
180	0.5111722009
181	0.5108980178
182	0.5106237947
183	0.5103647491
184	0.5099774291
185	0.5095351817
186	0.5092775555
187	0.5088820975
188	0.5084435164
189	0.5081079921
190	0.5077415642
191	0.5070964551
192	0.5067117198
193	0.5060661927
194	0.5057497344
195	0.5053514221
196	0.5048579261
197	0.5046027833
198	0.5040845334
199	0.5036723364
200	0.5033202088
201	0.5026818104
202	0.5022780212
203	0.5017373538
204	0.5014607762
205	0.5010176464
206	0.5006102154
207	0.5002556444
208	0.4997985281
209	0.4995094716
210	0.4989369203
211	0.4987210223
212	0.4983156609
213	0.4977532306
214	0.497370105
215	0.4968681384
216	0.4963750928
217	0.4958757437
218	0.4955680274
219	0.4949141272
220	0.4944527694
221	0.493868472
222	0.4934867781
223	0.4931559543
224	0.4924866588
225	0.4921004991
226	0.4915274958
227	0.4910166346
228	0.490534738
229	0.490077627
230	0.4897452483
231	0.4893554499
232	0.4889065096
233	0.4881068304
234	0.4876146879
235	0.487150813
236	0.4868527732
237	0.4865230916
238	0.486211065
239	0.4858004395
240	0.4853973025
241	0.485050857
242	0.4846687595
243	0.4842376478
244	0.4838229141
245	0.4834678093
246	0.4831380877
247	0.4827711541
248	0.4824041676
249	0.4818497424
250	0.4815043287
251	0.4809887899
252	0.4805101599
253	0.4801484032
254	0.4797274424
255	0.4792268473
256	0.4788536551
257	0.4786266601
258	0.4782472466
259	0.4777433605
260	0.4770359509
261	0.4766497448
262	0.4763661749
263	0.4759970764
264	0.4756070982
265	0.4750796675
266	0.4747452765
267	0.4744173385
268	0.474033759
269	0.4736651294
270	0.4732951094
271	0.472969459
272	0.4725171612
273	0.472106922
274	0.4718419378
275	0.4716157161
276	0.4711781889
277	0.4705676744
278	0.4701651466
279	0.4698394633
280	0.4695459058
281	0.4693088896
282	0.4688654491
283	0.4685522055
284	0.4681032548
285	0.4676137316
286	0.4671524266
287	0.4667789318
288	0.4662353059
289	0.4658480655
290	0.4654193333
291	0.4649966999
292	0.4646076542
293	0.4644188891
294	0.4640794153
295	0.4636950938
296	0.4634825807
297	0.4631829348
298	0.4627970288
299	0.4623075166
300	0.4620509123
301	0.4617414314
302	0.4614460645
303	0.4611418729
304	0.4608097193
305	0.4605380534
306	0.4601138484
307	0.4598086394
308	0.459446595
309	0.4590671926
310	0.4587997987
311	0.4584715415
312	0.4581149106
313	0.457620969
314	0.4572851938
315	0.4570218442
316	0.4566925099
317	0.4564520809
318	0.4562663068
319	0.4560777943
320	0.4557016336
321	0.4553655347
322	0.4549977907
323	0.4546139766
324	0.4544141659
325	0.454142956
326	0.4539181352
327	0.4535130137
328	0.453172942
329	0.4528024891
330	0.4524804927
331	0.4521079125
332	0.4517189095
333	0.4514878119
334	0.4512944893
335	0.4511354
336	0.4511181207
337	0.4507280475
338	0.4504439889
339	0.450045522
340	0.4495875207
341	0.4493021094
342	0.4489495258
343	0.4485056177
344	0.448167175
345	0.4477613751
346	0.4475569175
347	0.4472729959
348	0.4469676133
349	0.4466334668
350	0.4462885179
351	0.445863019
352	0.4455329905
353	0.4452194157
354	0.4448888346
355	0.4446159436
356	0.4444105043
357	0.4441546479
358	0.4438743388
359	0.4436271283
360	0.4431824292
361	0.4428957626
362	0.4426660481
363	0.4422792451
364	0.4420251359
365	0.4418055871
366	0.4417076633
367	0.4413763861
368	0.4409440948
369	0.440635291
370	0.4403016009
371	0.4399580137
372	0.4395919376
373	0.4391613816
374	0.4389107067
375	0.4385838531
376	0.4383393132
377	0.4380707994
378	0.4379311265
379	0.4375724814
380	0.4372613413
381	0.4372459466
382	0.4369904579
383	0.4365982363
384	0.4364063457
385	0.4359567657
386	0.4355242581
387	0.4350447098
388	0.4347723726
389	0.4345186407
390	0.4344145291
391	0.4341321588
392	0.4337190784
393	0.4334472656
394	0.433130401
395	0.4327742279
396	0.4324822118
397	0.4321035282
398	0.431876367
399	0.4314023063
400	0.4310671329
401	0.4308084572
402	0.4304540469
403	0.430391926
404	0.4300303646
405	0.4296704316
406	0.4294426443
407	0.4291477783
408	0.4289283612
409	0.4287168158
410	0.4284498581
411	0.4282855398
412	0.4280430977
413	0.4276044571
414	0.427210897
415	0.426883196
416	0.4267250011
417	0.4264470656
418	0.4260721153
419	0.4257785595
420	0.4252844874
421	0.4249700496
422	0.4246585528
423	0.4244576825
424	0.4240632476
425	0.4238597324
426	0.423673362
427	0.423196361
428	0.4229600213
429	0.4227136667
430	0.4225589421
431	0.4222936142
432	0.4220157344
433	0.4216814871
434	0.4214979965
435	0.4211195523
436	0.4207123724
437	0.4203280467
438	0.4199423475
439	0.4198363457
440	0.419600672
441	0.4193284237
442	0.419045278
443	0.4187762656
444	0.418471226
445	0.4181392515
446	0.4178386717
447	0.4176493754
448	0.4175281292
449	0.4172871788
450	0.4170151466
451	0.4166036827
452	0.4162046177
453	0.415682267
454	0.4154741567
455	0.4152365181
456	0.4149275658
457	0.4146144785
458	0.4142583793
459	0.4139135833
460	0.4136761402
461	0.4133694492
462	0.4132153648
463	0.4129142086
464	0.4127035314
465	0.4123964377
466	0.412152433
467	0.4117966692
468	0.4116583027
469	0.4114214914
470	0.4109907692
471	0.4107400418
472	0.4105645588
473	0.4102596613
474	0.409764892
475	0.4095602101
476	0.4092632271
477	0.4089335885
478	0.4084779079
479	0.408210562
480	0.4080775057
481	0.4078327188
482	0.4076825901
483	0.4073739113
484	0.4071629284
485	0.4069425451
486	0.4067825254
487	0.4065735669
488	0.4063467627
489	0.4060262775
490	0.4056459895
491	0.4054660552
492	0.4050534501
493	0.4048131214
494	0.4045906789
495	0.4041635459
496	0.4038478
497	0.4034088209
498	0.4029746146
499	0.4024001796
500	0.4021550476
501	0.4020243033
502	0.4018349968
503	0.4017137771
504	0.4013677728
505	0.4011080214
506	0.4007617937
507	0.4005339103
508	0.4002534723
509	0.399884156
510	0.3996985623
511	0.3993800004
512	0.3991028644
513	0.3988553108
514	0.3985950741
515	0.3984234215
516	0.398373603
517	0.3979957066
518	0.3977400991
519	0.3974733633
520	0.3973326007
521	0.3970162858
522	0.3967176795
523	0.3965238707
524	0.3962373131
525	0.3959650158
526	0.395694683
527	0.3956596331
528	0.3954050166
529	0.3951642942
530	0.3950646045
531	0.3947546854
532	0.3945349234
533	0.3941407834
534	0.3938137335
535	0.3936632368
536	0.3934729568
537	0.3932299525
538	0.3931090682
539	0.392919646
540	0.3927606889
541	0.3926172642
542	0.3922840372
543	0.3921456533
544	0.3919961031
545	0.3916123838
546	0.3912562431
547	0.3910870068
548	0.3909254985
549	0.3907486702
550	0.390493623
551	0.3903826355
552	0.3902250958
553	0.38999934
554	0.3896438515
555	0.3894716356
556	0.3891388457
557	0.3888635093
558	0.3886255864
559	0.3883952196
560	0.3881905732
561	0.3880312592
562	0.3877932715
563	0.3872639722
564	0.3870594983
565	0.3868062298
566	0.3865863518
567	0.3864242327
568	0.3862633016
569	0.3860347121
570	0.3859085948
571	0.3856464957
572	0.3853728696
573	0.3850690003
574	0.3846801985
575	0.3843396778
576	0.3840811917
577	0.3840086804
578	0.3838939834
579	0.3836504315
580	0.3832916397
581	0.3831359548
582	0.3828005725
583	0.3825757196
584	0.3823850763
585	0.3821149303
586	0.3819185886
587	0.3816442046
588	0.3814243469
589	0.38126314
590	0.3811190752
591	0.3808474493
592	0.3805601369
593	0.3802531176
594	0.3800347812
595	0.3797504102
596	0.3793570324
597	0.3789938224
598	0.3787936881
599	0.3784448035
600	0.378264602
601	0.3781633426
602	0.37775828
603	0.3773842039
604	0.3770885087
605	0.3768544402
606	0.3766965922
607	0.3765907773
608	0.376462515
609	0.3763275929
610	0.3761005012
611	0.3758944944
612	0.3755276098
613	0.3752349766
614	0.3750857302
615	0.3749064067
616	0.3746064731
617	0.3744656577
618	0.3741323
619	0.3739906982
620	0.3738181125
621	0.3736091928
622	0.3734876243
623	0.373190603
624	0.3730005711
625	0.3725959387
626	0.3721871628
627	0.3719314105
628	0.371666353
629	0.3714071461
630	0.3712622429
631	0.3710496039
632	0.3707332211
633	0.3704670346
634	0.3702258627
635	0.370079525
636	0.3698605734
637	0.3695592764
638	0.3694648621
639	0.3692807739
640	0.3689161453
641	0.3687629458
642	0.3684995725
643	0.3683415082
644	0.3680940915
645	0.367707829
646	0.3673334237
647	0.3670634263
648	0.3668852801
649	0.366653798
