iter	Passed	Remaining
408	4242	4056
409	4252	4044
410	4261	4033
411	4270	4022
412	4280	4011
413	4290	4000
414	4298	3987
415	4308	3976
416	4318	3966
417	4326	3954
418	4335	3942
419	4344	3930
420	4353	3919
421	4363	3908
422	4372	3897
423	4382	3886
424	4391	3875
425	4401	3864
426	4410	3852
427	4420	3841
428	4429	3830
429	4439	3819
430	4448	3808
431	4458	3797
432	4467	3786
433	4477	3775
434	4486	3764
435	4496	3754
436	4507	3744
437	4517	3733
438	4526	3722
439	4536	3711
440	4545	3700
441	4555	3689
442	4564	3678
443	4574	3667
444	4584	3656
445	4593	3646
446	4603	3635
447	4613	3624
448	4622	3613
449	4632	3602
450	4642	3592
451	4652	3581
452	4662	3571
453	4671	3559
454	4680	3549
455	4690	3538
456	4699	3526
457	4707	3515
458	4717	3504
459	4726	3493
460	4734	3481
461	4744	3470
462	4753	3459
463	4762	3448
464	4771	3437
465	4780	3426
466	4790	3415
467	4799	3405
468	4809	3394
469	4818	3383
470	4827	3371
471	4836	3361
472	4846	3350
473	4856	3340
474	4865	3329
475	4874	3318
476	4884	3307
477	4894	3296
478	4904	3286
479	4914	3276
480	4923	3265
481	4935	3255
482	4944	3245
483	4955	3235
484	4965	3224
485	4974	3213
486	4983	3202
487	4992	3192
488	5002	3181
489	5010	3170
490	5020	3159
491	5031	3149
492	5042	3139
493	5052	3129
494	5061	3118
495	5071	3108
496	5081	3097
497	5092	3088
498	5102	3077
499	5113	3068
500	5123	3057
501	5133	3047
502	5143	3037
503	5154	3027
504	5165	3017
505	5175	3007
506	5185	2996
507	5196	2986
508	5206	2976
509	5215	2965
510	5225	2955
511	5235	2944
512	5245	2934
513	5254	2923
514	5264	2913
515	5274	2903
516	5284	2892
517	5294	2882
518	5304	2872
519	5314	2861
520	5323	2850
521	5332	2840
522	5342	2829
523	5352	2819
524	5362	2808
525	5371	2798
526	5382	2788
527	5392	2778
528	5402	2767
529	5412	2757
530	5422	2746
531	5432	2736
532	5442	2726
533	5452	2715
534	5462	2705
535	5472	2695
536	5482	2685
537	5493	2675
538	5502	2664
539	5512	2653
540	5522	2643
541	5533	2633
542	5543	2623
543	5553	2613
544	5563	2603
545	5574	2593
546	5585	2583
547	5596	2573
548	5606	2563
549	5616	2553
550	5627	2543
551	5638	2533
552	5649	2523
