iter	Logloss
0	0.6885879762
1	0.6841811236
2	0.6799556914
3	0.6757914327
4	0.6723747998
5	0.6697309594
6	0.6666002008
7	0.6631726021
8	0.6598376522
9	0.6567381053
10	0.6545135346
11	0.6520054114
12	0.6495418581
13	0.6472989061
14	0.6452013791
15	0.6431758286
16	0.6406893398
17	0.638688318
18	0.6366107378
19	0.634672268
20	0.6329688813
21	0.6315452099
22	0.6298295407
23	0.6283588261
24	0.6267468876
25	0.6253834336
26	0.6239245714
27	0.6225363391
28	0.6214429912
29	0.6203275933
30	0.6192526619
31	0.618239245
32	0.6175017352
33	0.6164904104
34	0.6151359066
35	0.6140989396
36	0.6132065266
37	0.6121185238
38	0.6109534886
39	0.6100072182
40	0.6090182332
41	0.6085085084
42	0.6075807357
43	0.6066700304
44	0.6058328058
45	0.6051367176
46	0.604297038
47	0.6033262808
48	0.6025195943
49	0.6019222971
50	0.6014373959
51	0.6007904909
52	0.600318396
53	0.5995836851
54	0.5989156334
55	0.5982838554
56	0.5979062864
57	0.597398375
58	0.5969002317
59	0.596479481
60	0.5959583176
61	0.5954505018
62	0.5949318787
63	0.5943302051
64	0.5939303967
65	0.5934199737
66	0.5930180186
67	0.5925513372
68	0.5921325398
69	0.5916534956
70	0.5912561346
71	0.5908682454
72	0.5904542801
73	0.5900622467
74	0.5896671295
75	0.5894091826
76	0.5890341947
77	0.5887133486
78	0.5883111445
79	0.5879637863
80	0.5876688478
81	0.5873242028
82	0.5870387192
83	0.5867095641
84	0.5865196853
85	0.5860856484
86	0.5857079889
87	0.585389281
88	0.58503561
89	0.5847497999
90	0.5844529298
91	0.5842214062
92	0.5839535517
93	0.5836506024
94	0.5833670693
95	0.5830221234
96	0.5828162649
97	0.5825801504
98	0.5823776778
99	0.5820985948
100	0.5818549765
101	0.5816346698
102	0.5814195433
103	0.5812177761
104	0.5810782871
105	0.5808365905
106	0.5806880403
107	0.5804598383
108	0.5802084269
109	0.5799667605
110	0.5797364434
111	0.579503261
112	0.579190838
113	0.5790209925
114	0.5787849518
115	0.5785993022
116	0.5783400658
117	0.5781421116
118	0.5778691062
119	0.5776741525
120	0.5775303826
121	0.5773166558
122	0.5771540216
123	0.576990918
124	0.576756227
125	0.5765272576
126	0.5763623339
127	0.576144465
128	0.5759848309
129	0.5758022281
130	0.5755012749
131	0.5753040552
132	0.575067043
133	0.5749090902
134	0.5747575645
135	0.5745501983
136	0.5744161035
137	0.5742883842
138	0.574099525
139	0.5739803786
140	0.57374553
141	0.5736091646
142	0.5734321514
143	0.573252792
144	0.5730902201
145	0.5729499469
146	0.5728304583
147	0.5726590048
148	0.5725023873
149	0.5723098522
150	0.5721812916
151	0.5720583271
152	0.5719173624
153	0.5717158537
154	0.5715716179
155	0.5713552774
156	0.5711984797
157	0.5710674098
158	0.5709511782
159	0.5708183662
160	0.5706837132
161	0.5705408305
162	0.5704183419
163	0.5702571297
164	0.5701594208
165	0.5700355544
166	0.5698731626
167	0.5696963924
168	0.5695010111
169	0.5693339958
170	0.5692248021
171	0.5691195641
172	0.568971514
173	0.5688188025
174	0.5686317876
175	0.5685313776
176	0.5683593611
177	0.5682355524
178	0.5680834636
179	0.5679601443
180	0.5678822257
181	0.5677571994
182	0.5676824215
183	0.5674658813
184	0.5673211757
185	0.5671599621
