feature,importance
shlta,0.32484271707108037
painfr,0.1615193583909669
peninc,0.09266967664588611
adlfive,0.07310440924720657
hlthlm,0.05342862972550721
ftrkids,0.049679585551778656
ragender,0.03954451106936941
comparable_ipubpen,0.038391967052196274
fall,0.028877516884020578
arthre,0.027750003934566225
comparable_frec,0.024093077998129528
raeducl,0.021285667691954283
rural,0.01891802276934925
ftrsp,0.017235045118264194
lunge,0.011317175682816807
stayhospital,0.009635112826408417
comparable_tgiv,0.004838470349924901
comparable_hexp,0.002869051990574262
agey,0.0
comparable_exp,0.0
comparable_itearn,0.0
hhres,0.0
child,0.0
cancre,0.0
diabe,0.0
hearte,0.0
hibpe,0.0
lvnear,0.0
dadliv,0.0
momliv,0.0
hipriv,0.0
smokev,0.0
drinkev,0.0
livere,0.0
stroke,0.0
kcntf,0.0
socwk,0.0
work,0.0
pubpen,0.0
cesd,0.0
mstath,0.0
ramomeducl,0.0
radadeducl,0.0
