Model,Threshold,AUC_mean,AUC_sd,AUC_lo,AUC_hi,Spec_mean,Spec_sd,Spec_lo,Spec_hi,Sens_mean,Sens_sd,Sens_lo,Sens_hi
LR,0.4054054054054054,0.7544930997666023,0.012969209610141842,0.7297866120195791,0.7795216013507691,0.6668624323053323,0.015526843323475353,0.6357347317574971,0.6973687952817196,0.7032491521958597,0.019112958414277903,0.6672640931372549,0.7398890882911459
ADABOOST,0.3870967741935484,0.7505652922381026,0.013245056883679836,0.7233214638750117,0.7760200941460593,0.7325022859611086,0.014875482519750696,0.703829526390502,0.760852820594311,0.6541362709298902,0.02000669512204904,0.617165641985209,0.6937712492296613
RF,0.4235294117647059,0.7499376209445497,0.013299868110543648,0.7228659221553866,0.7745745126774638,0.6600840782599632,0.016111241552988563,0.6282241910631742,0.6918859649122807,0.7064299753019673,0.019091428910053054,0.6690488878738279,0.740743961352657
GB,0.3846153846153846,0.7483416530201054,0.013276325688348764,0.7212277293143153,0.7732928751944638,0.6555535899444667,0.01604525830048162,0.6229847273595036,0.6865675848491477,0.7052540834551915,0.01945931620377866,0.6654374999999999,0.7412921165868313
XGB,0.4242424368858337,0.7455087360289763,0.013315157787856935,0.7188499203707112,0.7705717755210936,0.6394064909943299,0.01647982262340678,0.6076212054925278,0.6729495263276023,0.7270992614078601,0.01894141174048404,0.6888459447111364,0.7638659548716176
EXTRA_TREES,0.4183673469387755,0.7426851824353989,0.013386309352592678,0.7175004666061506,0.7676320612813274,0.6933763145330606,0.015499125633934886,0.6629607971324312,0.7228546571300276,0.6643726411787898,0.020100913194837023,0.6242891283281048,0.7032594182637808
LGB,0.4489795918367347,0.7345408103754227,0.013581292623557636,0.7076238493650143,0.7604517339226972,0.7408754586691773,0.014700961520984083,0.7103326077824875,0.768895301516833,0.5831120865037362,0.0212289936515473,0.5410395278597936,0.6229901606472522
