comparable_itearn,pred,ci_lo,ci_hi,P_overall,P_nonlin
0.0,0.3816803980361366,0.0,1.0,1.0191575694484811e-07,1.0
41.17009547738694,0.38148427093082754,0.0,1.0,1.0191575694484811e-07,1.0
82.34019095477387,0.3814362296177319,0.0,1.0,1.0191575694484811e-07,1.0
123.51028643216081,0.38122361560537377,0.0,1.0,1.0191575694484811e-07,1.0
164.68038190954775,0.38110911537833125,0.0,1.0,1.0191575694484811e-07,1.0
205.8504773869347,0.38100992252633037,0.0,1.0,1.0191575694484811e-07,1.0
247.02057286432162,0.38084529780609455,0.0,1.0,1.0191575694484811e-07,1.0
288.19066834170854,0.38064697489242166,0.0,1.0,1.0191575694484811e-07,1.0
329.3607638190955,0.3805619915432759,0.0,1.0,1.0191575694484811e-07,1.0
370.53085929648245,0.3803947441096606,0.0,1.0,1.0191575694484811e-07,1.0
411.7009547738694,0.38029045362730574,0.0,1.0,1.0191575694484811e-07,1.0
452.8710502512563,0.3801717916906522,0.0,1.0,1.0191575694484811e-07,1.0
494.04114572864324,0.3800082055351029,0.0,1.0,1.0191575694484811e-07,1.0
535.2112412060302,0.37983476207907163,0.0,1.0,1.0191575694484811e-07,1.0
576.3813366834171,0.379685607279315,0.0,1.0,1.0191575694484811e-07,1.0
617.5514321608041,0.3795319836282822,0.0,1.0,1.0191575694484811e-07,1.0
658.721527638191,0.37935413377445243,0.0,1.0,1.0191575694484811e-07,1.0
699.8916231155779,0.3791843982381854,0.0,1.0,1.0191575694484811e-07,1.0
741.0617185929649,0.37904970853825065,0.0,1.0,1.0191575694484811e-07,1.0
782.2318140703518,0.37881808587193844,0.0,1.0,1.0191575694484811e-07,1.0
823.4019095477388,0.3786295965728572,0.0,1.0,1.0191575694484811e-07,1.0
864.5720050251257,0.37846626882380596,0.0,1.0,1.0191575694484811e-07,1.0
905.7421005025126,0.37824016821529977,0.0,1.0,1.0191575694484811e-07,1.0
946.9121959798996,0.3780464098129602,0.0,1.0,1.0191575694484811e-07,1.0
988.0822914572865,0.3778544838669789,0.0,1.0,1.0191575694484811e-07,1.0
1029.2523869346735,0.37764645785394935,0.0,1.0,1.0191575694484811e-07,1.0
