comparable_frec,pred,ci_lo,ci_hi,P_overall,P_nonlin
0.0,0.40623911578761784,0.3851602237250067,0.4276691878542613,7.734299356521035e-08,0.001971324029173771
59.46791457286432,0.40650455698700444,0.385795344794048,0.42755159449097246,7.734299356521035e-08,0.001971324029173771
118.93582914572865,0.4067695160095393,0.38642146849673514,0.4274426091133575,7.734299356521035e-08,0.001971324029173771
178.40374371859298,0.4070334554743237,0.387037500021308,0.42734225124607317,7.734299356521035e-08,0.001971324029173771
237.8716582914573,0.40729583756792404,0.3876423456053448,0.4272505373237328,7.734299356521035e-08,0.001971324029173771
297.3395728643216,0.4075561240527509,0.38823491559967177,0.4271674776862304,7.734299356521035e-08,0.001971324029173771
356.80748743718596,0.4078137762775601,0.3888141279302117,0.42709307318196793,7.734299356521035e-08,0.001971324029173771
416.27540201005024,0.40806825519003437,0.38937891196155416,0.42702731137491784,7.734299356521035e-08,0.001971324029173771
475.7433165829146,0.4083190213514092,0.38992821275455214,0.4269701623629432,7.734299356521035e-08,0.001971324029173771
535.2112311557789,0.40856553495310466,0.39046099569631826,0.4269215742287231,7.734299356521035e-08,0.001971324029173771
594.6791457286432,0.40880725583532884,0.390976251464788,0.4268814681608459,7.734299356521035e-08,0.001971324029173771
654.1470603015075,0.4090436435076208,0.39147300127190066,0.42684973330076026,7.734299356521035e-08,0.001971324029173771
713.6149748743719,0.40927415717130267,0.3919503023100527,0.4268262213906733,7.734299356521035e-08,0.001971324029173771
773.0828894472362,0.40949825574381377,0.3924072533067109,0.4268107413172642,7.734299356521035e-08,0.001971324029173771
832.5508040201005,0.4097153978849036,0.3928430000730966,0.42680305366507476,7.734299356521035e-08,0.001971324029173771
892.0187185929649,0.40992504202466284,0.3932567409160417,0.42680286541025425,7.734299356521035e-08,0.001971324029173771
951.4866331658292,0.41012664639337787,0.39364773176899265,0.4268098248984836,7.734299356521035e-08,0.001971324029173771
1010.9545477386935,0.4103196690531954,0.3940152908902037,0.426823517258852,7.734299356521035e-08,0.001971324029173771
1070.4224623115579,0.4105035679315916,0.3943588029747767,0.4268434604068637,7.734299356521035e-08,0.001971324029173771
1129.890376884422,0.4106778008566443,0.39467772253340244,0.4268691017835747,7.734299356521035e-08,0.001971324029173771
1189.3582914572864,0.41084182559411053,0.39497157640496394,0.42689981596357657,7.734299356521035e-08,0.001971324029173771
1248.8262060301508,0.41099509988632027,0.3952399652924849,0.42693490324224787,7.734299356521035e-08,0.001971324029173771
1308.294120603015,0.41113708149290207,0.395482564241428,0.4269735892831935,7.734299356521035e-08,0.001971324029173771
1367.7620351758794,0.4112672282333612,0.39569912201459206,0.42701502587158174,7.734299356521035e-08,0.001971324029173771
1427.2299497487438,0.4113849980315418,0.39588945935670855,0.4270582927802608,7.734299356521035e-08,0.001971324029173771
1486.697864321608,0.41148984896200796,0.39605346618182286,0.4271024007155881,7.734299356521035e-08,0.001971324029173771
1546.1657788944724,0.4115812392983872,0.39619109775497596,0.4271462952715025,7.734299356521035e-08,0.001971324029173771
1605.6336934673368,0.4116586275637286,0.3963023699740592,0.4271888617860533,7.734299356521035e-08,0.001971324029173771
1665.101608040201,0.411721472582937,0.39638735388580654,0.4272289309665375,7.734299356521035e-08,0.001971324029173771
1724.5695226130654,0.4117692335373483,0.3964461695901488,0.4272652851291803,7.734299356521035e-08,0.001971324029173771
1784.0374371859298,0.41180137002152684,0.3964789796987194,0.4272966648877636,7.734299356521035e-08,0.001971324029173771
1843.505351758794,0.411817342102369,0.3964859825160601,0.4273217761228912,7.734299356521035e-08,0.001971324029173771
1902.9732663316584,0.4118166103806104,0.3964674051066216,0.4273392970690737,7.734299356521035e-08,0.001971324029173771
1962.4411809045228,0.4117986360548414,0.39642349639815455,0.4273478853693625,7.734299356521035e-08,0.001971324029173771
2021.909095477387,0.41176288098814734,0.3963545204540646,0.42734618496532134,7.734299356521035e-08,0.001971324029173771
2081.377010050251,0.41170880777749935,0.3962607500255285,0.42733283271195793,7.734299356521035e-08,0.001971324029173771
2140.8449246231157,0.4116358798260333,0.39614246047034807,0.4273064646310946,7.734299356521035e-08,0.001971324029173771
2200.31283919598,0.4115435614183623,0.39599992410128015,0.42726572174095323,7.734299356521035e-08,0.001971324029173771
2259.780753768844,0.41143131779908426,0.39583340500324465,0.42720925542310967,7.734299356521035e-08,0.001971324029173771
2319.2486683417087,0.4112986152546517,0.3956431543374206,0.4271357323094189,7.734299356521035e-08,0.001971324029173771
2378.716582914573,0.4111449211987864,0.3954294061314855,0.4270438386903191,7.734299356521035e-08,0.001971324029173771
2438.184497487437,0.4109697042616323,0.39519237353951536,0.4269322844617095,7.734299356521035e-08,0.001971324029173771
2497.6524120603017,0.4107724343828501,0.39493224554247086,0.4267998066402489,7.734299356521035e-08,0.001971324029173771
2557.120326633166,0.41055258290887114,0.39464918405063554,0.4266451724865277,7.734299356521035e-08,0.001971324029173771
2616.58824120603,0.41030962269453924,0.39434332136261263,0.4264671822823878,7.734299356521035e-08,0.001971324029173771
2676.0561557788947,0.4100430282093813,0.3940147579311631,0.4262646718130384,7.734299356521035e-08,0.001971324029173771
2735.524070351759,0.40975227564876016,0.39366356038390105,0.4260365146069386,7.734299356521035e-08,0.001971324029173771
2794.991984924623,0.4094368430501733,0.393289759746248,0.4257816239870925,7.734299356521035e-08,0.001971324029173771
2854.4598994974876,0.40909621041497823,0.3928933498146922,0.4254989549868046,7.734299356521035e-08,0.001971324029173771
2913.927814070352,0.4087298598358309,0.3924742856299896,0.425187506181415,7.734299356521035e-08,0.001971324029173771
2973.395728643216,0.40833727563014116,0.3920324820021688,0.4248463214853626,7.734299356521035e-08,0.001971324029173771
3032.8636432160806,0.4079179444798585,0.39156781204184693,0.42447449196132747,7.734299356521035e-08,0.001971324029173771
3092.331557788945,0.4074713555779131,0.3910801056552637,0.4240711576853644,7.734299356521035e-08,0.001971324029173771
