comparable_hexp,pred,ci_lo,ci_hi,P_overall,P_nonlin
0.0,0.3227394018458503,0.0,1.0,0.0029620232741597308,1.0
34.30841206030151,0.32419695216486527,0.0,1.0,0.0029620232741597308,1.0
68.61682412060301,0.32565791984983655,0.0,1.0,0.0029620232741597308,1.0
102.92523618090452,0.3271206050852969,0.0,1.0,0.0029620232741597308,1.0
137.23364824120603,0.32869186596400396,0.0,1.0,0.0029620232741597308,1.0
171.54206030150755,0.33016066265803834,0.0,1.0,0.0029620232741597308,1.0
205.85047236180904,0.3316809777900855,0.0,1.0,0.0029620232741597308,1.0
240.15888442211053,0.33309294438993214,0.0,1.0,0.0029620232741597308,1.0
274.46729648241205,0.3345571685621459,0.0,1.0,0.0029620232741597308,1.0
308.7757085427136,0.3360824637700095,0.0,1.0,0.0029620232741597308,1.0
343.0841206030151,0.33759924188074,0.0,1.0,0.0029620232741597308,1.0
377.39253266331656,0.3391091096509274,0.0,1.0,0.0029620232741597308,1.0
411.7009447236181,0.3405091723355127,0.0,1.0,0.0029620232741597308,1.0
446.0093567839196,0.34213522780772165,0.0,1.0,0.0029620232741597308,1.0
480.31776884422106,0.34363764907922517,0.0,1.0,0.0029620232741597308,1.0
514.6261809045226,0.345022509189918,0.0,1.0,0.0029620232741597308,1.0
548.9345929648241,0.34652056489891686,0.0,1.0,0.0029620232741597308,1.0
583.2430050251256,0.3480112822060975,0.0,1.0,0.0029620232741597308,1.0
617.5514170854271,0.3496090629171508,0.0,1.0,0.0029620232741597308,1.0
651.8598291457287,0.35097035980393265,0.0,1.0,0.0029620232741597308,1.0
686.1682412060302,0.3525430325954654,0.0,1.0,0.0029620232741597308,1.0
720.4766532663316,0.35400025745365066,0.0,1.0,0.0029620232741597308,1.0
754.7850653266331,0.3555650831717729,0.0,1.0,0.0029620232741597308,1.0
789.0934773869346,0.35711898910753376,0.0,1.0,0.0029620232741597308,1.0
823.4018894472362,0.3583249879542119,0.0,1.0,0.0029620232741597308,1.0
857.7103015075377,0.3599615561339391,0.0,1.0,0.0029620232741597308,1.0
892.0187135678392,0.3614886767276714,0.0,1.0,0.0029620232741597308,1.0
926.3271256281407,0.362884533538619,0.0,1.0,0.0029620232741597308,1.0
960.6355376884421,0.36425443656992046,0.0,1.0,0.0029620232741597308,1.0
994.9439497487436,0.365739804489139,0.0,1.0,0.0029620232741597308,1.0
1029.2523618090452,0.3672064567276652,0.0,1.0,0.0029620232741597308,1.0
1063.5607738693468,0.3686613656439403,0.0,1.0,0.0029620232741597308,1.0
1097.8691859296482,0.3702111618397022,0.0,1.0,0.0029620232741597308,1.0
1132.1775979899496,0.3716210969590745,0.0,1.0,0.0029620232741597308,1.0
1166.4860100502513,0.37301894646212225,0.0,1.0,0.0029620232741597308,1.0
1200.7944221105527,0.37440462487276427,0.0,1.0,0.0029620232741597308,1.0
1235.1028341708543,0.3760143076765328,0.0,1.0,0.0029620232741597308,1.0
1269.4112462311557,0.37734705125380147,0.0,1.0,0.0029620232741597308,1.0
1303.7196582914573,0.3786744716550574,0.0,1.0,0.0029620232741597308,1.0
1338.0280703517587,0.3801043765140757,0.0,1.0,0.0029620232741597308,1.0
1372.3364824120604,0.3815075611138372,0.0,1.0,0.0029620232741597308,1.0
1406.6448944723618,0.3828910931712328,0.0,1.0,0.0029620232741597308,1.0
1440.9533065326632,0.38424042235498834,0.0,1.0,0.0029620232741597308,1.0
1475.2617185929648,0.38556984589183574,0.0,1.0,0.0029620232741597308,1.0
1509.5701306532662,0.38689373996317894,0.0,1.0,0.0029620232741597308,1.0
1543.8785427135679,0.3882845423262174,0.0,1.0,0.0029620232741597308,1.0
1578.1869547738693,0.38966990873041796,0.0,1.0,0.0029620232741597308,1.0
1612.495366834171,0.3908971915460144,0.0,1.0,0.0029620232741597308,1.0
1646.8037788944723,0.39211130786935655,0.0,1.0,0.0029620232741597308,1.0
1681.1121909547737,0.39341414904966104,0.0,1.0,0.0029620232741597308,1.0
1715.4206030150754,0.39479871352859675,0.0,1.0,0.0029620232741597308,1.0
1749.7290150753768,0.3960535668687364,0.0,1.0,0.0029620232741597308,1.0
1784.0374271356784,0.39725863836782505,0.0,1.0,0.0029620232741597308,1.0
1818.3458391959798,0.3986771049848746,0.0,1.0,0.0029620232741597308,1.0
1852.6542512562814,0.3997164446406816,0.0,1.0,0.0029620232741597308,1.0
1886.9626633165828,0.4010682029296118,0.0,1.0,0.0029620232741597308,1.0
1921.2710753768843,0.4022930453648539,0.0,1.0,0.0029620232741597308,1.0
1955.579487437186,0.4034640195620273,0.0,1.0,0.0029620232741597308,1.0
1989.8878994974873,0.4046103634966032,0.0,1.0,0.0029620232741597308,1.0
2024.196311557789,0.4059490804557455,0.0,1.0,0.0029620232741597308,1.0
2058.5047236180903,0.40703137428407443,0.0,1.0,0.0029620232741597308,1.0
2092.813135678392,0.4081956628656162,0.0,1.0,0.0029620232741597308,1.0
2127.1215477386936,0.4093185559377893,0.0,1.0,0.0029620232741597308,1.0
2161.429959798995,0.4103943964133454,0.0,1.0,0.0029620232741597308,1.0
2195.7383718592964,0.4114489243320501,0.0,1.0,0.0029620232741597308,1.0
2230.046783919598,0.4126716054916278,0.0,1.0,0.0029620232741597308,1.0
2264.3551959798992,0.4135789163635889,0.0,1.0,0.0029620232741597308,1.0
2298.663608040201,0.4146215215670401,0.0,1.0,0.0029620232741597308,1.0
2332.9720201005025,0.4156445083062239,0.0,1.0,0.0029620232741597308,1.0
2367.280432160804,0.4166112017555884,0.0,1.0,0.0029620232741597308,1.0
