method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,catboost,internal_train_cv,5,0.6515488365199348,0.2751118062858843,0.6885551394048859,0.563078873243055,0.5389242745930644,0.5923765071956437,0.5643876227533815,0.22203425745865027,0.6879789272030651,0.7327212445804642
mean_mode,catboost,internal_train_cv,10,0.6746702238031718,0.3234100793711381,0.7249211940282938,0.60108841660782,0.5664310954063604,0.6234928043562816,0.5935937789298278,0.21014250425168213,0.7061781609195402,0.7528720959918305
mean_mode,catboost,internal_train_cv,15,0.68460056321328,0.3423745284097405,0.7389434131955156,0.6262451662813326,0.5792486583184258,0.6297160637884092,0.6034289973909802,0.20449224816919528,0.7183908045977011,0.7591093117408907
mean_mode,catboost,internal_train_cv,20,0.6967541129390841,0.3658505997157704,0.7483595206480773,0.6378380233947232,0.5952813067150635,0.6378840917930766,0.6158467893353361,0.20066248640635356,0.7329980842911877,0.7667835671342685
mean_mode,catboost,internal_train_cv,25,0.6899362679709501,0.3510188857886771,0.7476319089580065,0.6384917525889466,0.5873131607728764,0.6266044340723453,0.6063229205871283,0.2010847304234173,0.7289272030651341,0.7602397602397603
mean_mode,catboost,internal_train_cv,30,0.6927523343708315,0.35733990727684983,0.7479070452780872,0.6385677208463417,0.5904796511627907,0.632049786075457,0.6105579560398272,0.20090845597822798,0.7301245210727969,0.7632040050062578
mean_mode,catboost,internal_train_cv,35,0.6958648288128056,0.362580997324053,0.7466836479983787,0.6359631566037617,0.5952293577981651,0.6308829249319331,0.6125377643504532,0.20134968902016673,0.7358716475095786,0.7640477374440576
mean_mode,catboost,internal_train_cv,40,0.6951237587075737,0.360129457035924,0.7478900937512573,0.6375006295983383,0.5949741315594974,0.6262154803578374,0.6101951866590866,0.20075078653957165,0.7375478927203065,0.7621875773323434
mean_mode,catboost,internal_train_cv,42,0.6888987698236253,0.34812575405718493,0.7455601902147592,0.6356555668713441,0.5865102639296188,0.6223259432127577,0.6038875259482921,0.20182180293483215,0.7298850574712644,0.758397611346106
