method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,gb,internal_train_cv,5,0.6930487624129242,0.3158831363265092,0.7409538456494559,0.6157158426464178,0.6303441084462982,0.47024504084014,0.5386500334150145,0.196992044251709,0.83022030651341,0.7179540277490164
mean_mode,gb,internal_train_cv,10,0.7090558766859345,0.35651436383165136,0.7543335833217839,0.6415279172893903,0.6507936507936508,0.5103072734344613,0.5720514497492915,0.19216206831684884,0.8314176245210728,0.7338829000211372
mean_mode,gb,internal_train_cv,15,0.7059433822439602,0.34774849786813045,0.7600876487077348,0.6501532673429751,0.6483072258716523,0.49902761571373006,0.5639560439560439,0.1901431918562952,0.8333333333333334,0.7298657718120806
mean_mode,gb,internal_train_cv,20,0.7056469542018675,0.3477031453271653,0.7590158837669199,0.6483417310983095,0.646911099949774,0.5009723842862699,0.5646646207803595,0.19058988394631804,0.8316570881226054,0.7302354920100925
mean_mode,gb,internal_train_cv,25,0.7065362383281458,0.3501815485076424,0.7585151617436452,0.6478358679867755,0.6476761619190404,0.5040840140023337,0.5669291338582677,0.19070937549666714,0.8311781609195402,0.7313527180783818
mean_mode,gb,internal_train_cv,30,0.7086112346227953,0.3550783235053364,0.7589615364267821,0.6498998003616203,0.6507224713502741,0.5079735511474135,0.5705548274355614,0.19046743450579046,0.8321360153256705,0.7331223628691983
mean_mode,gb,internal_train_cv,35,0.7080183785386097,0.3528571808338935,0.7582858038600303,0.6480659176213823,0.6510809451985923,0.5036950602878257,0.5679824561403509,0.19077158918799123,0.8338122605363985,0.7318200924758301
mean_mode,gb,internal_train_cv,40,0.7066844523491922,0.34964658318939146,0.7582694577448731,0.6494690939279888,0.6491935483870968,0.5009723842862699,0.5655323819978046,0.19071202461500955,0.8333333333333334,0.7306319546504304
mean_mode,gb,internal_train_cv,42,0.7086112346227953,0.3541711764058043,0.758783172834042,0.6500143258943267,0.6520864756158874,0.5044729677168417,0.5688596491228071,0.19049979726126798,0.8342911877394636,0.73224043715847
