method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,lgb,internal_train_cv,5,0.5738846894916259,0.11263471476885167,0.5887192152821554,0.45305287492423824,0.44594594594594594,0.48774795799299886,0.4659112019320082,0.254760804154782,0.6269157088122606,0.6653113087674715
mean_mode,lgb,internal_train_cv,10,0.6597006076774863,0.28371663071173026,0.7015353985136304,0.580815580887971,0.5515560554930634,0.5721509140412291,0.5616647575410462,0.22117306549122648,0.7136015325670498,0.7303921568627451
mean_mode,lgb,internal_train_cv,15,0.671705943382244,0.309447438458219,0.7128770876457272,0.5887681132093252,0.5665171898355755,0.5896538311940879,0.5778540118162759,0.21709312167841427,0.7222222222222222,0.7408499140260378
mean_mode,lgb,internal_train_cv,20,0.6780791462872388,0.3218976872079441,0.7192772204264781,0.6006354440900298,0.575084681972149,0.5943212757681836,0.5845447589900535,0.21441587995194114,0.7296455938697318,0.7449877750611247
mean_mode,lgb,internal_train_cv,25,0.6877130576552541,0.3405746631062344,0.7359835089586025,0.6210944951785172,0.5884146341463414,0.6005445352003111,0.5944177093358999,0.2084045170465212,0.7413793103448276,0.7509095318942518
mean_mode,lgb,internal_train_cv,30,0.6918630502445531,0.35011193844698907,0.7392297263464728,0.6225990282771984,0.5931818181818181,0.6091015169194866,0.6010362694300518,0.20701635938727736,0.742816091954023,0.7552958363769174
mean_mode,lgb,internal_train_cv,35,0.6881576997183934,0.3396946564885496,0.7380581150498262,0.6217204357138703,0.5902589872439119,0.5939323220536756,0.5920899573478092,0.20783353716593747,0.7461685823754789,0.7490384615384615
mean_mode,lgb,internal_train_cv,40,0.6859344894026975,0.33543367983356387,0.7369631581849424,0.621278311227975,0.5870570107858244,0.5927654609101517,0.5898974259725179,0.20855356407995337,0.7432950191570882,0.7477716212960732
mean_mode,lgb,internal_train_cv,42,0.6883059137394397,0.34045164166587294,0.7378393285854157,0.6232464105428164,0.5901386748844376,0.5958770906262155,0.5929940003870718,0.20793205192414874,0.7452107279693486,0.7496988677427125
