method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,xgb,internal_train_cv,5,0.6668148806877131,0.31096362974253633,0.7185054136843156,0.6013743795429212,0.5555555555555556,0.6281602489303773,0.5896312522818546,0.21273076603973548,0.6906130268199234,0.7510416666666667
mean_mode,xgb,internal_train_cv,10,0.6677041648139914,0.32062931136463524,0.725273497051552,0.601396606227256,0.5536704730831974,0.6600544535200311,0.6022001419446416,0.21283770885057982,0.6724137931034483,0.7626290059750136
mean_mode,xgb,internal_train_cv,15,0.6733362976137542,0.32661048199665155,0.7248696874660039,0.60284795131196,0.5621823110809895,0.6452742123687282,0.6008692502716407,0.2138984741373193,0.6906130268199234,0.7597471022128557
mean_mode,xgb,internal_train_cv,20,0.6754112939084037,0.3265807879917155,0.7206101972189063,0.5915997563419954,0.5665385958784491,0.6308829249319331,0.5969819654030181,0.2161993041376797,0.7028256704980843,0.755664263645726
mean_mode,xgb,internal_train_cv,25,0.6764487920557285,0.3275034658542302,0.7310602546678171,0.6136923244868822,0.5683579985905567,0.6273823415013613,0.5964133850989092,0.21182980816971167,0.7066570881226054,0.7549245331286775
mean_mode,xgb,internal_train_cv,30,0.6800059285608419,0.3291945553529493,0.7381597310705468,0.6230004373919946,0.5756796473181485,0.6094904706339945,0.5921027772529757,0.20839803710697047,0.7234195402298851,0.7505590062111801
mean_mode,xgb,internal_train_cv,35,0.6848969912553727,0.33684997726798016,0.738417869293669,0.6257249549013097,0.5833645560134882,0.6056009334889149,0.5942748091603054,0.20785100775147392,0.7337164750957854,0.7513487003433056
mean_mode,xgb,internal_train_cv,40,0.6888987698236253,0.34327398712243284,0.7392850516593124,0.6248916466304817,0.5898021308980214,0.602878257487359,0.5962685131756107,0.20702443722376146,0.7418582375478927,0.7521243020150522
mean_mode,xgb,internal_train_cv,42,0.6893434118867645,0.34707974986301415,0.7377649095198284,0.623104234682052,0.5883885374023075,0.6149358226371062,0.601369341955116,0.20770070505752186,0.7351532567049809,0.7561576354679803
