method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,lr,internal_train_cv,5,0.6856380613606047,0.338262290474467,0.7296237524793937,0.6147006703263225,0.5843960990247562,0.6059898872034228,0.5949971357647508,0.20923454669640218,0.7346743295019157,0.751776525361431
mean_mode,lr,internal_train_cv,10,0.6900844819919965,0.3537612981448732,0.7447726893392407,0.6348363439394209,0.5858983536148891,0.6367172306495527,0.6102516309412861,0.20444297643125786,0.7229406130268199,0.763723754110802
mean_mode,lr,internal_train_cv,15,0.6911219801393211,0.36750342501616695,0.7580406121326735,0.6475285583813378,0.5800197173841604,0.6865033061065733,0.6287851799073744,0.1999413198102546,0.6939655172413793,0.7823974082073434
mean_mode,lr,internal_train_cv,20,0.6949755446865273,0.3742197760656244,0.7609647039406524,0.6519137417133558,0.585018230029831,0.6865033061065733,0.6317108088761632,0.19880008462788282,0.7001915708812261,0.7839142091152815
mean_mode,lr,internal_train_cv,25,0.6949755446865273,0.37358542352841817,0.7621204348234284,0.653743245353114,0.5854145854145855,0.6837806301050176,0.6307857911733046,0.19824183847456636,0.701867816091954,0.7828525641025641
mean_mode,lr,internal_train_cv,30,0.6958648288128056,0.3755021411789733,0.7616842589984665,0.6543137028007412,0.5863560732113144,0.6853364449630494,0.6319942611190817,0.1984014376906196,0.7023467432950191,0.7838054516301443
mean_mode,lr,internal_train_cv,35,0.6927523343708315,0.36924807402706283,0.7610131834445801,0.6537419856740735,0.582779255319149,0.6818358615324777,0.6284280336977953,0.1986910878632013,0.6994731800766284,0.7812249264509227
mean_mode,lr,internal_train_cv,40,0.6939380465392027,0.3715912653582917,0.7598751957808209,0.6522243897031617,0.58416500332668,0.6830027226760016,0.6297292451138605,0.19915090914827244,0.7006704980842912,0.7821438118150227
mean_mode,lr,internal_train_cv,42,0.694086260560249,0.3719410455309783,0.7592548816671658,0.6518394358775648,0.5843032923179249,0.6833916763905096,0.6299749013983507,0.19935928533203934,0.7006704980842912,0.7823529411764706
