method,model,scenario,k,Accuracy,Kappa,AUROC,AUPRC,Precision,Recall,F1_Score,Brier_Score,Specificity,NPV
mean_mode,adaboost,internal_train_cv,5,0.6971987550022232,0.310614261607288,0.7409834642512789,0.6175867532730196,0.66,0.4235705950991832,0.5159914712153518,0.19987690219441034,0.8656609195402298,0.709240729841083
mean_mode,adaboost,internal_train_cv,10,0.7023862457388469,0.32851536804441195,0.7558592207364488,0.6436979776767284,0.6596710153148043,0.45235316997277325,0.5366866635902169,0.19802490216377241,0.8563218390804598,0.7174959871589085
mean_mode,adaboost,internal_train_cv,15,0.7065362383281458,0.33997886993269677,0.7587964918908368,0.6466230135717173,0.6638935108153078,0.46557759626604434,0.5473251028806584,0.1985867904409353,0.8548850574712644,0.7220873786407767
mean_mode,adaboost,internal_train_cv,20,0.7071290944123314,0.3404754724687099,0.7579533862817067,0.6459237344372709,0.6664801343033017,0.4632438739789965,0.5465810004589261,0.19878486471265394,0.85727969348659,0.7217741935483871
mean_mode,adaboost,internal_train_cv,25,0.7068326663702387,0.3400175420793299,0.7576129120711264,0.6451919325392803,0.6655499720826354,0.46363282769350445,0.5465382851902797,0.1988641158049824,0.8565613026819924,0.7217514124293786
mean_mode,adaboost,internal_train_cv,30,0.706980880391285,0.34019409211696106,0.7575111097698913,0.6450143893751557,0.6661073825503355,0.4632438739789965,0.5464556090846524,0.19889607445546903,0.8570402298850575,0.7217180883242589
mean_mode,adaboost,internal_train_cv,35,0.706980880391285,0.34019409211696106,0.7575111097698913,0.6450143893751557,0.6661073825503355,0.4632438739789965,0.5464556090846524,0.19889607445546903,0.8570402298850575,0.7217180883242589
mean_mode,adaboost,internal_train_cv,40,0.7065362383281458,0.33914040257492184,0.757535186526405,0.6449681283281081,0.6653609401231113,0.46246596654998057,0.5456631482331344,0.19891959114217544,0.8568007662835249,0.7213709677419354
mean_mode,adaboost,internal_train_cv,42,0.7065362383281458,0.33914040257492184,0.757535186526405,0.6449681283281081,0.6653609401231113,0.46246596654998057,0.5456631482331344,0.19891959114217544,0.8568007662835249,0.7213709677419354
