method,model,Accuracy,AUC,AUPRC,Brier,Sensitivity,Specificity,Precision,NPV,F1
mean_mode,lr,0.7127612272120942,0.7649809118356679,0.6423532477853156,0.1891433278085675,0.5375340334500195,0.8206417624521073,0.6485218207414359,0.7424176776429809,0.5878349638451723
mean_mode,rf,0.8187342522602639,0.8953722424895423,0.8335577424802924,0.14061232315697592,0.6830027226760016,0.9022988505747126,0.8114602587800369,0.8221688850098189,0.7417106652587118
mean_mode,extra_trees,0.7861271676300579,0.8544462737190981,0.777037289585486,0.15531171013253597,0.6285492026448852,0.8831417624521073,0.7680608365019012,0.7943140211070429,0.6913368983957219
mean_mode,gb,0.7283236994219653,0.7855529867472592,0.6649946260615411,0.1810607157403179,0.4959159859976663,0.8714080459770115,0.7036423841059603,0.737386018237082,0.5817932922655715
mean_mode,adaboost,0.7160219356751149,0.7666336857015548,0.6424311450275797,0.18796864185973142,0.5612602100350058,0.8113026819923371,0.6467951591214702,0.75022143489814,0.6009995835068721
mean_mode,lgb,0.8219949607232844,0.9198032579716884,0.8547345773367678,0.1366844462076227,0.6122131466355504,0.9511494252873564,0.8852643419572553,0.7993560072449185,0.7238445619682685
mean_mode,xgb,0.7360308285163777,0.7965735282721662,0.6809071610258596,0.17773509457223205,0.5052508751458576,0.8781130268199234,0.7184734513274337,0.7424579874468515,0.5932861383877598
